  Downloaded CSV file from A DataCurrent Website |3833,
7/1/2017 0:00,0.912
7/1/2017 0:05,0.91
7/1/2017 0:10,0.909
7/1/2017 0:15,0.911
7/1/2017 0:20,0.911
7/1/2017 0:25,0.902
7/1/2017 0:30,0.902
7/1/2017 0:35,0.901
7/1/2017 0:40,0.907
7/1/2017 0:45,0.907
7/1/2017 0:50,0.904
7/1/2017 0:55,0.905
7/1/2017 1:00,0.905
7/1/2017 1:05,0.906
7/1/2017 1:10,0.907
7/1/2017 1:15,0.908
7/1/2017 1:20,0.907
7/1/2017 1:25,0.905
7/1/2017 1:30,0.902
7/1/2017 1:35,0.906
7/1/2017 1:40,0.903
7/1/2017 1:45,0.906
7/1/2017 1:50,0.906
7/1/2017 1:55,0.907
7/1/2017 2:00,0.908
7/1/2017 2:05,0.907
7/1/2017 2:10,0.907
7/1/2017 2:15,0.909
7/1/2017 2:20,0.903
7/1/2017 2:25,0.894
7/1/2017 2:30,0.894
7/1/2017 2:35,0.895
7/1/2017 2:40,0.897
7/1/2017 2:45,0.889
7/1/2017 2:50,0.89
7/1/2017 2:55,0.893
7/1/2017 3:00,0.887
7/1/2017 3:05,0.892
7/1/2017 3:10,0.89
7/1/2017 3:15,0.896
7/1/2017 3:20,0.885
7/1/2017 3:25,0.9
7/1/2017 3:30,0.894
7/1/2017 3:35,0.896
7/1/2017 3:40,0.894
7/1/2017 3:45,0.893
7/1/2017 3:50,0.889
7/1/2017 3:55,0.881
7/1/2017 4:00,0.888
7/1/2017 4:05,0.903
7/1/2017 4:10,0.903
7/1/2017 4:15,0.901
7/1/2017 4:20,0.898
7/1/2017 4:25,0.895
7/1/2017 4:30,0.892
7/1/2017 4:35,0.89
7/1/2017 4:40,0.894
7/1/2017 4:45,0.892
7/1/2017 4:50,0.899
7/1/2017 4:55,0.891
7/1/2017 5:00,0.886
7/1/2017 5:05,0.886
7/1/2017 5:10,0.886
7/1/2017 5:15,0.893
7/1/2017 5:20,0.901
7/1/2017 5:25,0.908
7/1/2017 5:30,0.908
7/1/2017 5:35,0.905
7/1/2017 5:40,0.9
7/1/2017 5:45,0.908
7/1/2017 5:50,0.907
7/1/2017 5:55,0.914
7/1/2017 6:00,0.916
7/1/2017 6:05,0.917
7/1/2017 6:10,0.912
7/1/2017 6:15,0.912
7/1/2017 6:20,0.908
7/1/2017 6:25,0.91
7/1/2017 6:30,0.909
7/1/2017 6:35,0.914
7/1/2017 6:40,0.921
7/1/2017 6:45,0.925
7/1/2017 6:50,0.94
7/1/2017 6:55,0.932
7/1/2017 7:00,0.925
7/1/2017 7:05,0.93
7/1/2017 7:10,0.923
7/1/2017 7:15,0.931
7/1/2017 7:20,0.935
7/1/2017 7:25,0.945
7/1/2017 7:30,0.950999
7/1/2017 7:35,0.950999
7/1/2017 7:40,0.954999
7/1/2017 7:45,0.949
7/1/2017 7:50,0.946
7/1/2017 7:55,0.95
7/1/2017 8:00,0.954
7/1/2017 8:05,0.954999
7/1/2017 8:10,0.954999
7/1/2017 8:15,0.962
7/1/2017 8:20,0.968
7/1/2017 8:25,0.964999
7/1/2017 8:30,0.95
7/1/2017 8:35,0.945
7/1/2017 8:40,0.946
7/1/2017 8:45,0.948
7/1/2017 8:50,0.960999
7/1/2017 8:55,0.962999
7/1/2017 9:00,0.976
7/1/2017 9:05,0.974
7/1/2017 9:10,0.968
7/1/2017 9:15,0.962999
7/1/2017 9:20,0.968999
7/1/2017 9:25,0.978
7/1/2017 9:30,0.982
7/1/2017 9:35,0.972
7/1/2017 9:40,0.966
7/1/2017 9:45,0.964
7/1/2017 9:50,0.956
7/1/2017 9:55,0.952999
7/1/2017 10:00,0.956
7/1/2017 10:05,0.954999
7/1/2017 10:10,0.970999
7/1/2017 10:15,0.966999
7/1/2017 10:20,0.966999
7/1/2017 10:25,0.966
7/1/2017 10:30,0.974
7/1/2017 10:35,0.976999
7/1/2017 10:40,0.976999
7/1/2017 10:45,0.980999
7/1/2017 10:50,0.950999
7/1/2017 10:55,0.952
7/1/2017 11:00,0.952999
7/1/2017 11:05,0.960999
7/1/2017 11:10,0.954
7/1/2017 11:15,0.942
7/1/2017 11:20,0.954
7/1/2017 11:25,0.954
7/1/2017 11:30,0.952999
7/1/2017 11:35,0.962999
7/1/2017 11:40,0.962
7/1/2017 11:45,0.954999
7/1/2017 11:50,0.964
7/1/2017 11:55,0.964999
7/1/2017 12:00,0.962999
7/1/2017 12:05,0.962
7/1/2017 12:10,0.952
7/1/2017 12:15,0.949
7/1/2017 12:20,0.946
7/1/2017 12:25,0.950999
7/1/2017 12:30,0.945
7/1/2017 12:35,0.950999
7/1/2017 12:40,0.948
7/1/2017 12:45,0.945
7/1/2017 12:50,0.938
7/1/2017 12:55,0.952
7/1/2017 13:00,0.950999
7/1/2017 13:05,0.96
7/1/2017 13:10,0.962
7/1/2017 13:15,0.97
7/1/2017 13:20,0.97
7/1/2017 13:25,0.974
7/1/2017 13:30,0.968999
7/1/2017 13:35,0.968
7/1/2017 13:40,0.968
7/1/2017 13:45,0.962
7/1/2017 13:50,0.960999
7/1/2017 13:55,0.962999
7/1/2017 14:00,0.972
7/1/2017 14:05,0.972
7/1/2017 14:10,0.966
7/1/2017 14:15,0.962999
7/1/2017 14:20,0.956999
7/1/2017 14:25,0.939
7/1/2017 14:30,0.937
7/1/2017 14:35,0.943
7/1/2017 14:40,0.944
7/1/2017 14:45,0.942
7/1/2017 14:50,0.942
7/1/2017 14:55,0.948
7/1/2017 15:00,0.936
7/1/2017 15:05,0.934
7/1/2017 15:10,0.942
7/1/2017 15:15,0.935
7/1/2017 15:20,0.919
7/1/2017 15:25,0.919
7/1/2017 15:30,0.923
7/1/2017 15:35,0.922
7/1/2017 15:40,0.922
7/1/2017 15:45,0.934
7/1/2017 15:50,0.937
7/1/2017 15:55,0.935
7/1/2017 16:00,0.936
7/1/2017 16:05,0.939
7/1/2017 16:10,0.938
7/1/2017 16:15,0.93
7/1/2017 16:20,0.93
7/1/2017 16:25,0.93
7/1/2017 16:30,0.93
7/1/2017 16:35,0.934
7/1/2017 16:40,0.933
7/1/2017 16:45,0.937
7/1/2017 16:50,0.935
7/1/2017 16:55,0.935
7/1/2017 17:00,0.926
7/1/2017 17:05,0.925
7/1/2017 17:10,0.925
7/1/2017 17:15,0.927
7/1/2017 17:20,0.924
7/1/2017 17:25,0.938
7/1/2017 17:30,0.933
7/1/2017 17:35,0.934
7/1/2017 17:40,0.937
7/1/2017 17:45,0.935
7/1/2017 17:50,0.928
7/1/2017 17:55,0.943
7/1/2017 18:00,0.939
7/1/2017 18:05,0.908
7/1/2017 18:10,0.911
7/1/2017 18:15,0.914
7/1/2017 18:20,0.914
