BAIF_VELOCITY_FM3_STATION_ID_1280_PERIOD_JULY012017_OCT012017 VELOCITY_SENSOR_ID=3839 UNIT=M/S,
5/13/2018 0:00,1.172663
5/13/2018 0:05,1.136212
5/13/2018 0:10,1.148684
5/13/2018 0:15,1.146233
5/13/2018 0:20,1.158703
5/13/2018 0:25,1.1528
5/13/2018 0:30,1.156393
5/13/2018 0:35,1.157829
5/13/2018 0:40,1.155508
5/13/2018 0:45,1.155392
5/13/2018 0:50,1.145372
5/13/2018 0:55,1.141543
5/13/2018 1:00,1.139658
5/13/2018 1:05,1.139559
5/13/2018 1:10,1.142487
5/13/2018 1:15,1.142625
5/13/2018 1:20,1.143307
5/13/2018 1:25,1.133289
5/13/2018 1:30,1.142743
5/13/2018 1:35,1.136848
5/13/2018 1:40,1.136447
5/13/2018 1:45,1.138004
5/13/2018 1:50,1.138146
5/13/2018 1:55,1.127231
5/13/2018 2:00,1.126384
5/13/2018 2:05,1.128222
5/13/2018 2:10,1.12466
5/13/2018 2:15,1.114055
5/13/2018 2:20,1.108916
5/13/2018 2:25,1.112166
5/13/2018 2:30,1.116581
5/13/2018 2:35,1.115329
5/13/2018 2:40,1.110618
5/13/2018 2:45,1.108193
5/13/2018 2:50,1.10795
5/13/2018 2:55,1.107809
5/13/2018 3:00,1.131221
5/13/2018 3:05,1.129807
5/13/2018 3:10,1.107587
5/13/2018 3:15,1.111394
5/13/2018 3:20,1.098713
5/13/2018 3:25,1.099016
5/13/2018 3:30,1.099081
5/13/2018 3:35,1.103236
5/13/2018 3:40,1.103005
5/13/2018 3:45,1.102236
5/13/2018 3:50,1.116541
5/13/2018 3:55,1.13425
5/13/2018 4:00,1.132811
5/13/2018 4:05,1.119494
5/13/2018 4:10,1.110648
5/13/2018 4:15,1.114849
5/13/2018 4:20,1.115337
5/13/2018 4:25,1.115731
5/13/2018 4:30,1.122662
5/13/2018 4:35,1.125251
5/13/2018 4:40,1.124743
5/13/2018 4:45,1.126457
5/13/2018 4:50,1.121907
5/13/2018 4:55,1.076341
